object_id,mean_sex_ratio
21-395-03418,0.9993928260642831
21-395-03419,0.9940307575699016
21-395-03420,0.9932322229967996
21-395-03421,0.996319535683846
21-396-03547,1.0446347062793158
21-396-03548,1.0445252039100228
21-396-03549,1.04464795897421
21-396-03550,1.0414160678098796
21-396-03551,1.044612475005556
21-396-03552,1.0431521638006696
21-396-03553,1.0445233140890848
21-396-03554,1.0391474172445587
21-396-03555,1.0446352017923737
21-396-03556,1.0446472201969887
21-396-03557,1.043668112900164
21-397-03513,1.0025357754482926
21-397-03514,1.0022717829295906
21-397-03515,1.0021702123343226
21-397-03516,1.0070579536068922
21-397-03517,1.0022841800735125
21-397-03518,1.0039240601981958
21-397-03519,1.002086365009394
21-397-03520,1.0024354013261674
21-397-03521,1.001414683072916
21-397-03522,1.002279080320775
21-398-03466,1.0183464932485822
21-398-03467,1.0169286607974275
21-398-03468,1.0168460389140894
21-398-03469,1.0181580312609892
21-398-03470,1.01782287700988
21-398-03471,1.0178218673579382
21-398-03472,1.0177922582548244
21-398-03473,1.017824087026472
21-398-03474,1.0162716842008963
21-398-03475,1.0207774764819495
21-398-03476,1.0173505773475051
21-398-03477,1.0176950733429344
21-398-03478,1.0171086081758602
21-398-03479,1.0178243235859874
21-399-03480,1.002528519907402
21-399-03481,1.002624403423376
21-399-03482,1.0025853456199294
21-399-03483,1.002161561755123
21-399-03484,1.0025321632842976
21-399-03485,1.0031513908340943
21-399-03486,1.0027488985319093
