block_lgd,dtname,dtcode11,block_name,object_id,block_area,max,mean,count,sum
03535,Nuapada,394,SINAPALI,21-394-03535,676,0.31876425266265873,0.21704773231958002,587,127.40701887159348
03536,Puri,387,ASTARANGA,21-387-03536,156,0.34486256823539735,0.33719895560794405,135,45.52185900707245
03537,Puri,387,BRAHMAGIRI,21-387-03537,383,0.10109577649831772,0.04993887754736175,332,16.579707345724103
03538,Puri,387,DELANGA,21-387-03538,203,0.3342012370824814,0.33333854072411856,180,60.000937330341344
03539,Puri,387,GOP,21-387-03539,281,0.34486256823539735,0.20838377579720427,243,50.63725751872064
03540,Puri,387,KAKAT PUR,21-387-03540,217,0.34486256823539735,0.263335851039785,188,49.507139995479584
03541,Puri,387,KANAS,21-387-03541,222,0.3342012370824814,0.2744902367276671,191,52.42763521498441
03542,Puri,387,KRUSHNAPRASAD,21-387-03542,1007,0.3342012370824814,0.07620856447991203,867,66.07282540408373
03543,Puri,387,NIMAPADA,21-387-03543,322,0.34486256823539735,0.2094015535849592,276,57.794828789448744
03544,Puri,387,PIPILI,21-387-03544,208,0.5282917901039124,0.3413250218972731,178,60.755853897714616
03545,Puri,387,SADAR,21-387-03545,283,0.3342012370824814,0.13417711551892955,244,32.73921618661881
03546,Puri,387,SATYABADI,21-387-03546,190,0.3342012370824814,0.3062860035367311,160,49.00576056587697
03547,Rayagada,396,BISSAMCUTTACK,21-396-03547,746,0.34419050463438033,0.24789417092495228,649,160.88331693029403
03548,Rayagada,396,CHANDRAPUR,21-396-03548,832,0.34419050463438033,0.2453125401280023,719,176.37971635203365
03549,Rayagada,396,GUDARI,21-396-03549,535,0.2219371466636658,0.2184717518905365,458,100.06006236586572
03550,Rayagada,396,GUNUPUR,21-396-03550,601,0.28185399217605595,0.2446594468066859,516,126.24427455224992
03551,Rayagada,396,KALYANSINGPUR,21-396-03551,566,0.34419050463438033,0.27648686371414805,483,133.5431551739335
03552,Rayagada,396,KASIPUR,21-396-03552,1393,0.4338528723716736,0.31816452709598164,1194,379.88844535260205
03553,Rayagada,396,KOLNARA,21-396-03553,455,0.4327903757333756,0.2772316376603355,389,107.8431070498705
03554,Rayagada,396,MUNIGUDA,21-396-03554,592,0.3561337567329407,0.34545081507791386,505,174.4526616143465
03555,Rayagada,396,PADMAPUR,21-396-03555,425,0.2219371466636658,0.2197176443147135,364,79.97722253055571
03556,Rayagada,396,RAMANAGUDA,21-396-03556,372,0.28185399217605595,0.23087180473100574,315,72.7246184902668
03557,Rayagada,396,RAYAGADA,21-396-03557,825,0.4327903757333756,0.29954216237003745,703,210.57814014613632
03558,Sambalpur,372,BAMRA,21-372-03558,657,0.7567785236120225,0.6124364984380013,573,350.9261136049747
03559,Sambalpur,372,DHANKAUDA,21-372-03559,497,0.48629016599655156,0.3816425555954218,439,167.5410819063902
03560,Sambalpur,372,JAMANKIRA,21-372-03560,990,0.7567785236120225,0.41190060443410687,867,357.11782404437065
03561,Sambalpur,372,JUJOMURA,21-372-03561,715,0.48629016599655156,0.41774036866290176,621,259.416768939662
03562,Sambalpur,372,KUCHINDA,21-372-03562,532,0.7567785236120225,0.679052781126107,468,317.7967015670181
03563,Sambalpur,372,MANESWAR,21-372-03563,444,0.48629016599655156,0.44018798718001906,381,167.71162311558726
03564,Sambalpur,372,NAKTIDEUL,21-372-03564,1165,0.5793571026325226,0.3547953902821903,1013,359.4077303558588
03565,Sambalpur,372,RAIRAKHOL,21-372-03565,1083,0.5793571026325226,0.4179935927444856,935,390.82400921609405
03566,Sambalpur,372,RENGALI,21-372-03566,498,0.5125300552725792,0.42404888091830006,435,184.46126319946052
03567,Sonepur,392,BINIKA,21-392-03567,335,0.5325076044082642,0.5303865444567789,289,153.2817113480091
03568,Sonepur,392,BIRMAHARAJPUR,21-392-03568,414,0.5422416307449341,0.45973604096722137,359,165.04523870723247
03569,Sonepur,392,DUNGURIPALI,21-392-03569,295,0.5325076044082642,0.48780609335178554,258,125.85397208476067
03570,Sonepur,392,SONEPUR,21-392-03570,378,0.5436119718551636,0.5042003973445143,331,166.89033152103423
03571,Sonepur,392,TARBHA,21-392-03571,333,0.5436119718551636,0.47575868746342304,294,139.87305411424637
03572,Sonepur,392,ULLUNDA,21-392-03572,607,0.5422416307449341,0.5010097026626421,526,263.5311036005497
03573,Sundargarh,374,BALISANKARA,21-374-03573,692,0.707177858054638,0.5046196848979562,598,301.7625715689778
03574,Sundargarh,374,BARGAON,21-374-03574,418,0.4569618928909302,0.4406407298332403,363,159.95258492946624
03575,Sundargarh,374,BISRA,21-374-03575,351,0.6786612481117249,0.6524597936754103,308,200.95761645202637
03576,Sundargarh,374,BONAIGARH,21-374-03576,433,0.7715468034744263,0.7411779878752213,379,280.9064574047089
03577,Sundargarh,374,GURUNDIA,21-374-03577,1216,0.7715468034744263,0.7063591143620058,1066,752.9788159098982
03578,Sundargarh,374,HEMGIR,21-374-03578,885,0.46512732033729554,0.3164552484940134,778,246.20218332834244
03579,Sundargarh,374,KOIDA,21-374-03579,798,0.7715468034744263,0.6483645030636644,699,453.2067876415015
03580,Sundargarh,374,KUARMUNDA,21-374-03580,588,0.6786612481117249,0.5600849534625513,521,291.80426075398924
03581,Sundargarh,374,KUTRA,21-374-03581,370,0.6245003387212753,0.4777480229862629,326,155.7458554935217
03582,Sundargarh,374,LAHUNIPARA,21-374-03582,865,0.7715468034744263,0.6796545274364378,754,512.4595136870741
03583,Sundargarh,374,LATHIKATA,21-374-03583,465,0.7111713699698449,0.6488807306789592,408,264.74333811701536
03584,Sundargarh,374,LEPHRIPARA,21-374-03584,535,0.5585942724704742,0.47469676876470634,462,219.30990716929432
03585,Sundargarh,374,NUAGAON,21-374-03585,434,0.6786612481117249,0.6326729669965327,376,237.88503559069633
03586,Sundargarh,374,RAJGANGPUR,21-374-03586,583,0.7083247795104981,0.5644862305890346,510,287.8879776004076
03587,Sundargarh,374,SUBDEGA,21-374-03587,381,0.46512732033729554,0.43189268313455875,338,145.97972689948085
03588,Sundargarh,374,SUNDARGARH,21-374-03588,380,0.46512732033729554,0.460372336030731,329,151.4624985541105
03589,Sundargarh,374,TANGARPALI,21-374-03589,331,0.5585942724704742,0.4497389304375408,297,133.57246233994962
